Date,Num
4/22/2018,21366307
4/23/2018,21394284
4/24/2018,21408483
4/25/2018,21441708
4/26/2018,21499476
4/27/2018,21515388
4/28/2018,21529307
4/29/2018,21543039
4/30/2018,21550892
5/1/2018,21560312
5/2/2018,21555587
5/3/2018,21554609
5/4/2018,21566612
5/5/2018,21567339
