,id_str,screen_name,location
163,2693078921,EthanDieck,tampa
164,993156784020967424,aouini_hamdi,
165,948511200475828224,JuleGe4,"Frankfurt am Main, Deutschland"
166,978285986424778754,naamashish,"Chicago, IL"
167,187150077,zeynpkardashian,Ankara
168,241048420,phantom_mhari,India 
169,824879795863379968,gupta10898tanvi,
170,853698259491201024,flaminsarah10,The Dunya
171,480972393,williamlaurie,"Jamestown, RI"
172,286403334,CullEnders2,Upstate NY
173,993156029457289216,pedretti788,
174,232425645,ariellejdsj,
175,993154253811339264,zhuoqixiang,
176,993156722956161024,Chitu24980570,
177,148243324,juanxz188,Venezuela
178,913412804350275584,MyMultiMiner,
179,2920518857,Macnoobi,
180,982522544107356161,EklavyaKujur,New Delhi
181,185878045,Mtessier42,
182,379254065,rajes02,India
183,993157293641416704,Errickmccall21,
184,993156647936765952,StasGorovenko95,
185,917881274756468736,chrisbarrera110,"Houston, TX"
186,3012457352,tweetglazion,
187,993157012530876422,Anburadha2,
188,2940108537,PhobosFerro,
189,992307836087484421,bodyembodiment,
190,370917254,AysuAcikgoz,Antalya
191,3271120939,RAJJLP14,
192,795806755053768704,azakhary18,
193,2325605378,marcomaya97,"Monclova, COAH"
194,993157484679450624,c1aqXE76MNOQkFS,
195,923682615315623939,unfazed_areaman,"Wrocław, Polska"
196,838549868666724352,SlempTV,
197,993157367293411328,DouglassSteph,
198,888036229207425024,24_cemsahan,
199,1180108440,Hugo_Safadi,
200,993157591873343490,RN6uCa7ZiUtfr7w,
201,467558140,NiekcmrArntz,
202,4617380236,thalia_oriol,"Massachusetts, USA"
203,906601767378542592,CreativeMofoo,
204,993157480476704769,StrecciFidel,
205,993156802958315521,CrackersKevin,
206,990214305743159297,Trungvu91,"Ho Chi Minh, Vietnam"
207,2497819467,katakombz,"Antigonish, Nova Scotia"
208,1348808898,surajgodithi,"Folsom, CA"
209,993157490962522112,Dorayak43735912,
210,954409590329929729,wanhuxtabl3,
211,971206409378410496,chuduccong4,
212,450667711,LER66,
213,2314853623,krubindc,
214,993157235437133824,spyrou_marios,Cyprus
215,993156391127912448,Asia23224001,
216,993156824730914817,SaadAlfawareh,
217,950204592943521793,CryptoBlasted26,"Edmond, OK"
218,4291927756,wentz_roger,
219,993154988321931269,julian7tanzer,
220,993155190919397377,Abdo69036577,
221,769447924497612800,sinkingstory,Chile
222,375862275,ZachTynes,
223,3066715620,NammmOnza,
224,805505841076076544,Pibrocket,United States
225,770798481539760129,hlpuelle,"New York, NY"
226,934498520429662208,Rivers1423,
227,933538351638081537,KitchenOfSonny,"Chicago, IL"
